emoji,emoji_names,raw
😀,grinning_face,<U+0001F600>
😃,grinning_face_with_big_eyes,<U+0001F603>
😄,grinning_face_with_smiling_eyes,<U+0001F604>
😁,beaming_face_with_smiling_eyes,<U+0001F601>
😆,grinning_squinting_face,<U+0001F606>
😅,grinning_face_with_sweat,<U+0001F605>
🤣,rolling_on_the_floor_laughing,<U+0001F923>
😂,face_with_tears_of_joy,<U+0001F602>
🙂,slightly_smiling_face,<U+0001F642>
🙃,upside_down_face,<U+0001F643>
😉,winking_face,<U+0001F609>
😊,smiling_face_with_smiling_eyes,<U+0001F60A>
😇,smiling_face_with_halo,<U+0001F607>
🥰,smiling_face_with_hearts,<U+0001F970>
😍,smiling_face_with_heart_eyes,<U+0001F60D>
🤩,star_struck,<U+0001F929>
😘,face_blowing_a_kiss,<U+0001F618>
😗,kissing_face,<U+0001F617>
☺️,smiling_face,<U+FE0F>
😚,kissing_face_with_closed_eyes,<U+0001F61A>
😙,kissing_face_with_smiling_eyes,<U+0001F619>
😋,face_savoring_food,<U+0001F60B>
😛,face_with_tongue,<U+0001F61B>
😜,winking_face_with_tongue,<U+0001F61C>
🤪,zany_face,<U+0001F92A>
😝,squinting_face_with_tongue,<U+0001F61D>
🤑,money_mouth_face,<U+0001F911>
🤗,hugging_face,<U+0001F917>
🤭,face_with_hand_over_mouth,<U+0001F92D>
🤫,shushing_face,<U+0001F92B>
🤔,thinking_face,<U+0001F914>
🤐,zipper_mouth_face,<U+0001F910>
🤨,face_with_raised_eyebrow,<U+0001F928>
😐,neutral_face,<U+0001F610>
😑,expressionless_face,<U+0001F611>
😶,face_without_mouth,<U+0001F636>
😏,smirking_face,<U+0001F60F>
😒,unamused_face,<U+0001F612>
🙄,face_with_rolling_eyes,<U+0001F644>
😬,grimacing_face,<U+0001F62C>
🤥,lying_face,<U+0001F925>
😌,relieved_face,<U+0001F60C>
😔,pensive_face,<U+0001F614>
😪,sleepy_face,<U+0001F62A>
🤤,drooling_face,<U+0001F924>
😴,sleeping_face,<U+0001F634>
😷,face_with_medical_mask,<U+0001F637>
🤒,face_with_thermometer,<U+0001F912>
🤕,face_with_head_bandage,<U+0001F915>
🤢,nauseated_face,<U+0001F922>
🤮,face_vomiting,<U+0001F92E>
🤧,sneezing_face,<U+0001F927>
🥵,hot_face,<U+0001F975>
🥶,cold_face,<U+0001F976>
🥴,woozy_face,<U+0001F974>
😵,dizzy_face,<U+0001F635>
🤯,exploding_head,<U+0001F92F>
🤠,cowboy_hat_face,<U+0001F920>
🥳,partying_face,<U+0001F973>
😎,smiling_face_with_sunglasses,<U+0001F60E>
🤓,nerd_face,<U+0001F913>
🧐,face_with_monocle,<U+0001F9D0>
😕,confused_face,<U+0001F615>
😟,worried_face,<U+0001F61F>
🙁,slightly_frowning_face,<U+0001F641>
☹️,frowning_face,<U+2639><U+FE0F>
😮,face_with_open_mouth,<U+0001F62E>
😯,hushed_face,<U+0001F62F>
😲,astonished_face,<U+0001F632>
😳,flushed_face,<U+0001F633>
🥺,pleading_face,<U+0001F97A>
😦,frowning_face_with_open_mouth,<U+0001F626>
😧,anguished_face,<U+0001F627>
😨,fearful_face,<U+0001F628>
😰,anxious_face_with_sweat,<U+0001F630>
😥,sad_but_relieved_face,<U+0001F625>
😢,crying_face,<U+0001F622>
😭,loudly_crying_face,<U+0001F62D>
